id,marque,modele,annee,kilometrage,prix,carburant,transmission,couleur,ville,typeVendeur,datePublication,description
80,Kia,Niro,2021,13667,59995,ELECTRIQUE,AUTOMATIQUE,Blanc,Ottawa,CONCESSIONNAIRE,2025-10-17,"Superbe Kia Niro 2021 en excellente condition, 13 667 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Ottawa. Prix: 59 995 $ CAD, negociable."
81,GMC,Sierra,2021,74306,60995,DIESEL,AUTOMATIQUE,Noir,Halifax,PARTICULIER,2025-11-17,"Superbe GMC Sierra 2021 en excellente condition, 74 306 km. Entretien regulier effectue, carnet complet disponible. Vehicule diesel, economique en carburant, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Halifax. Prix: 60 995 $ CAD, negociable."
82,Volkswagen,Jetta,2021,73306,30139,ESSENCE,MANUELLE,Bleu,Montreal,CONCESSIONNAIRE,2026-05-24,"Superbe Volkswagen Jetta 2021 en excellente condition, 73 306 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 30 139 $ CAD, negociable."
83,BMW,2,2016,28190,38940,ESSENCE,AUTOMATIQUE,Blanc,Laval,PARTICULIER,2025-12-19,"A vendre BMW 2 2016, 28 190 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Laval. Prix demande: 38 940 $."
84,BMW,330e,2021,43069,39844,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Brun,Montreal,CONCESSIONNAIRE,2026-01-14,"BMW 330e 2021 de couleur brun, 43 069 km, en tres bon etat mecanique et esthetique. Moteur hybride rechargeable (PHEV), transmission automatique. Inspection recente reussie. Vendeur situe a Montreal. Prix: 39 844 $ CAD."
85,Volvo,XC40,2023,500,79729,ELECTRIQUE,AUTOMATIQUE,Blanc,Calgary,CONCESSIONNAIRE,2026-07-26,"Volvo XC40 2023 de couleur blanc, 500 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Calgary. Prix: 79 729 $ CAD."
86,Chrysler,Pacifica,2018,64989,35494,HYBRIDE,AUTOMATIQUE,Rouge,Vancouver,CONCESSIONNAIRE,2025-09-26,"Occasion a saisir: Chrysler Pacifica 2018, seulement 64 989 km. Vehicule hybride, faible consommation, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Vancouver. Prix: 35 494 $."
87,Mazda,Mazda3,2011,251752,5000,HYBRIDE,MANUELLE,Bleu,Halifax,CONCESSIONNAIRE,2026-08-06,"A vendre Mazda Mazda3 2011, 251 752 km au compteur. Hybride, faible consommation avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur bleu, aucun accident rapporte. Disponible a Halifax. Prix demande: 5 000 $."
88,Tesla,Model 3,2021,24534,51995,ELECTRIQUE,AUTOMATIQUE,Gris,Laval,CONCESSIONNAIRE,2026-07-07,"Tesla Model 3 2021 de couleur gris, 24 534 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Laval. Prix: 51 995 $ CAD."
89,Ford,Edge,2023,500,47221,ESSENCE,AUTOMATIQUE,Blanc,Montreal,PARTICULIER,2026-04-21,"A vendre Ford Edge 2023, 500 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Montreal. Prix demande: 47 221 $."
90,Nissan,LEAF,2018,45164,31888,ELECTRIQUE,AUTOMATIQUE,Blanc,Winnipeg,CONCESSIONNAIRE,2026-05-19,"Superbe Nissan LEAF 2018 en excellente condition, 45 164 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Winnipeg. Prix: 31 888 $ CAD, negociable."
91,Nissan,Titan,2017,132565,33995,DIESEL,AUTOMATIQUE,Bleu,Halifax,CONCESSIONNAIRE,2025-12-31,"Superbe Nissan Titan 2017 en excellente condition, 132 565 km. Entretien regulier effectue, carnet complet disponible. Vehicule diesel, economique en carburant, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Halifax. Prix: 33 995 $ CAD, negociable."
92,Ford,F-150,2023,500,77814,HYBRIDE,AUTOMATIQUE,Noir,Quebec,PARTICULIER,2025-08-24,"Occasion a saisir: Ford F-150 2023, seulement 500 km. Vehicule hybride, faible consommation, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Quebec. Prix: 77 814 $."
93,Jeep,Wrangler,2023,500,72415,ELECTRIQUE,AUTOMATIQUE,Bleu,Montreal,CONCESSIONNAIRE,2025-12-31,"Occasion a saisir: Jeep Wrangler 2023, seulement 500 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 72 415 $."
94,Ford,Mustang,2021,4785,64690,ELECTRIQUE,AUTOMATIQUE,Rouge,Winnipeg,PARTICULIER,2026-06-23,"Superbe Ford Mustang 2021 en excellente condition, 4 785 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Winnipeg. Prix: 64 690 $ CAD, negociable."
95,BMW,X5,2018,45488,49900,ESSENCE,AUTOMATIQUE,Blanc,Regina,CONCESSIONNAIRE,2025-09-15,"Cette BMW X5 2018 (45 488 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Regina. Prix affiche: 49 900 $ CAD, faire une offre."
96,Chrysler,200,2013,203702,5800,ESSENCE,MANUELLE,Blanc,Vancouver,CONCESSIONNAIRE,2026-05-19,"Superbe Chrysler 200 2013 en excellente condition, 203 702 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Vancouver. Prix: 5 800 $ CAD, negociable."
97,Hyundai,Tucson,2020,56787,32488,ESSENCE,AUTOMATIQUE,Gris,Victoria,PARTICULIER,2026-01-25,"A vendre Hyundai Tucson 2020, 56 787 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Victoria. Prix demande: 32 488 $."
98,Volvo,XC60 Recharge,2021,31912,54328,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2025-12-09,"Occasion a saisir: Volvo XC60 Recharge 2021, seulement 31 912 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 54 328 $."
99,Infiniti,Q60,2018,22998,39588,ESSENCE,AUTOMATIQUE,Blanc,Halifax,CONCESSIONNAIRE,2026-07-06,"A vendre Infiniti Q60 2018, 22 998 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Halifax. Prix demande: 39 588 $."
100,MINI,Clubman,2020,47300,31588,ESSENCE,AUTOMATIQUE,Vert,Toronto,PARTICULIER,2025-11-18,"Occasion a saisir: MINI Clubman 2020, seulement 47 300 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Toronto. Prix: 31 588 $."
101,Ford,Escape,2016,69000,21990,ESSENCE,AUTOMATIQUE,Blanc,Montreal,PARTICULIER,2025-09-21,"Ford Escape 2016 de couleur blanc, 69 000 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Montreal. Prix: 21 990 $ CAD."
102,Toyota,RAV4 Prime,2022,36733,49107,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Vert,Saskatoon,CONCESSIONNAIRE,2025-12-16,"Occasion a saisir: Toyota RAV4 Prime 2022, seulement 36 733 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Saskatoon. Prix: 49 107 $."
103,Jeep,Wrangler,2023,500,71405,HYBRIDE,MANUELLE,Blanc,Montreal,CONCESSIONNAIRE,2026-08-02,"Jeep Wrangler 2023 de couleur blanc, 500 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission manuelle. Inspection recente reussie. Vendeur situe a Montreal. Prix: 71 405 $ CAD."
104,Hyundai,Tucson,2017,75004,21900,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2025-07-15,"Superbe Hyundai Tucson 2017 en excellente condition, 75 004 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 21 900 $ CAD, negociable."
105,Chevrolet,Volt,2017,94991,22899,HYBRIDE,MANUELLE,Noir,Laval,PARTICULIER,2026-04-19,"A vendre Chevrolet Volt 2017, 94 991 km au compteur. Hybride, faible consommation avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Laval. Prix demande: 22 899 $."
106,Volvo,XC60 Recharge,2021,30986,51569,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Rouge,Gatineau,PARTICULIER,2026-04-24,"Superbe Volvo XC60 Recharge 2021 en excellente condition, 30 986 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride rechargeable (PHEV), transmission automatique. Interieur propre et non-fumeur. Idealement situe a Gatineau. Prix: 51 569 $ CAD, negociable."
107,Mazda,CX-7,2011,118573,12580,ESSENCE,AUTOMATIQUE,Noir,Laval,PARTICULIER,2025-11-22,"Mazda CX-7 2011 de couleur noir, 118 573 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Laval. Prix: 12 580 $ CAD."
108,Honda,Civic,2018,126948,24488,ESSENCE,MANUELLE,Bleu,Montreal,PARTICULIER,2026-07-30,"Occasion a saisir: Honda Civic 2018, seulement 126 948 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 24 488 $."
109,Mitsubishi,Outlander PHEV,2021,40893,35113,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Noir,Surrey,CONCESSIONNAIRE,2026-06-14,"Occasion a saisir: Mitsubishi Outlander PHEV 2021, seulement 40 893 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Surrey. Prix: 35 113 $."
110,Chrysler,Pacifica Hybrid,2020,56182,36274,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Beige,Vancouver,PARTICULIER,2026-08-04,"Occasion a saisir: Chrysler Pacifica Hybrid 2020, seulement 56 182 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Vancouver. Prix: 36 274 $."
111,Hyundai,Sonata,2012,198000,8990,HYBRIDE,MANUELLE,Argent,Montreal,CONCESSIONNAIRE,2025-06-17,"Cette Hyundai Sonata 2012 (198 000 km) est en excellent etat. Carburant: hybride, faible consommation, transmission manuelle, couleur argent. Vehicule non accidente, deuxieme proprietaire. Localisation: Montreal. Prix affiche: 8 990 $ CAD, faire une offre."
112,Porsche,Macan,2018,25995,62800,ESSENCE,AUTOMATIQUE,Blanc,Surrey,PARTICULIER,2026-04-19,"A vendre Porsche Macan 2018, 25 995 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Surrey. Prix demande: 62 800 $."
113,Chrysler,Pacifica,2017,131924,35490,ELECTRIQUE,AUTOMATIQUE,Blanc,Toronto,CONCESSIONNAIRE,2025-12-15,"Cette Chrysler Pacifica 2017 (131 924 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Toronto. Prix affiche: 35 490 $ CAD, faire une offre."
114,Kia,Telluride,2022,23450,55788,ESSENCE,AUTOMATIQUE,Gris,Montreal,CONCESSIONNAIRE,2026-07-03,"A vendre Kia Telluride 2022, 23 450 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Montreal. Prix demande: 55 788 $."
115,Cadillac,Escalade,2013,261000,32000,ESSENCE,AUTOMATIQUE,Blanc,Laval,CONCESSIONNAIRE,2025-06-30,"Occasion a saisir: Cadillac Escalade 2013, seulement 261 000 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Laval. Prix: 32 000 $."
116,Tesla,Model S,2022,20395,68999,ELECTRIQUE,AUTOMATIQUE,Blanc,Mississauga,CONCESSIONNAIRE,2026-01-17,"Superbe Tesla Model S 2022 en excellente condition, 20 395 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Mississauga. Prix: 68 999 $ CAD, negociable."
117,Mercedes-Benz,GL350BT,2014,119150,28000,DIESEL,AUTOMATIQUE,Gris,St. John's,CONCESSIONNAIRE,2025-07-26,"A vendre Mercedes-Benz GL350BT 2014, 119 150 km au compteur. Diesel, economique en carburant avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a St. John's. Prix demande: 28 000 $."
118,Kia,Sorento PHEV,2022,25612,46884,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Blanc,Toronto,PARTICULIER,2026-01-27,"A vendre Kia Sorento PHEV 2022, 25 612 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Toronto. Prix demande: 46 884 $."
119,Ford,Escape,2016,155000,14990,ESSENCE,AUTOMATIQUE,Noir,Laval,CONCESSIONNAIRE,2026-04-26,"A vendre Ford Escape 2016, 155 000 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Laval. Prix demande: 14 990 $."
120,Audi,Q8,2019,49000,65000,HYBRIDE,AUTOMATIQUE,Bleu,Vancouver,PARTICULIER,2026-05-19,"Superbe Audi Q8 2019 en excellente condition, 49 000 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Vancouver. Prix: 65 000 $ CAD, negociable."
121,Ford,F-150,2022,14205,68785,ESSENCE,AUTOMATIQUE,Noir,Vancouver,CONCESSIONNAIRE,2025-11-03,"Cette Ford F-150 2022 (14 205 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Vancouver. Prix affiche: 68 785 $ CAD, faire une offre."
122,Audi,Q5,2022,9612,56999,HYBRIDE,AUTOMATIQUE,Blanc,Laval,CONCESSIONNAIRE,2025-10-24,"A vendre Audi Q5 2022, 9 612 km au compteur. Hybride, faible consommation avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Laval. Prix demande: 56 999 $."
123,Mazda,Mazda3,2018,35455,21999,ESSENCE,MANUELLE,Bleu,Toronto,CONCESSIONNAIRE,2025-10-11,"Occasion a saisir: Mazda Mazda3 2018, seulement 35 455 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Toronto. Prix: 21 999 $."
124,Volkswagen,ATLAS,2021,15707,38995,ESSENCE,AUTOMATIQUE,Noir,Gatineau,PARTICULIER,2025-09-17,"Volkswagen ATLAS 2021 de couleur noir, 15 707 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Gatineau. Prix: 38 995 $ CAD."
125,Jeep,Grand,2023,500,88830,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2025-10-16,"Cette Jeep Grand 2023 (500 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Montreal. Prix affiche: 88 830 $ CAD, faire une offre."
126,Tesla,Model 3,2020,46288,48777,ELECTRIQUE,AUTOMATIQUE,Bleu,Mississauga,PARTICULIER,2025-08-03,"Occasion a saisir: Tesla Model 3 2020, seulement 46 288 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Mississauga. Prix: 48 777 $."
127,Kia,Sorento,2022,46131,34995,ESSENCE,AUTOMATIQUE,Noir,St. John's,CONCESSIONNAIRE,2026-02-11,"A vendre Kia Sorento 2022, 46 131 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a St. John's. Prix demande: 34 995 $."
128,Volvo,XC60,2023,500,68735,ESSENCE,AUTOMATIQUE,Argent,Victoria,PARTICULIER,2025-07-03,"Volvo XC60 2023 de couleur argent, 500 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Victoria. Prix: 68 735 $ CAD."
129,Porsche,Panamera,2017,85280,74988,ESSENCE,AUTOMATIQUE,Noir,Laval,CONCESSIONNAIRE,2026-04-16,"Cette Porsche Panamera 2017 (85 280 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Laval. Prix affiche: 74 988 $ CAD, faire une offre."
130,Hyundai,Santa,2022,13203,51888,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-03-02,"A vendre Hyundai Santa 2022, 13 203 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Quebec. Prix demande: 51 888 $."
131,BMW,3,2018,71000,30950,DIESEL,MANUELLE,Noir,Ottawa,CONCESSIONNAIRE,2026-07-16,"BMW 3 2018 de couleur noir, 71 000 km, en tres bon etat mecanique et esthetique. Moteur diesel, economique en carburant, transmission manuelle. Inspection recente reussie. Vendeur situe a Ottawa. Prix: 30 950 $ CAD."
132,Toyota,RAV4 Prime,2023,18509,50549,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Blanc,Calgary,PARTICULIER,2025-12-09,"A vendre Toyota RAV4 Prime 2023, 18 509 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Calgary. Prix demande: 50 549 $."
133,Toyota,RAV4 Prime,2022,29577,46272,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Noir,Toronto,CONCESSIONNAIRE,2025-09-25,"Toyota RAV4 Prime 2022 de couleur noir, 29 577 km, en tres bon etat mecanique et esthetique. Moteur hybride rechargeable (PHEV), transmission automatique. Inspection recente reussie. Vendeur situe a Toronto. Prix: 46 272 $ CAD."
134,Ford,Fusion,2019,57309,28890,HYBRIDE,AUTOMATIQUE,Noir,London,PARTICULIER,2025-09-25,"Superbe Ford Fusion 2019 en excellente condition, 57 309 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a London. Prix: 28 890 $ CAD, negociable."
135,Mitsubishi,Outlander PHEV,2021,39540,33363,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Rouge,Toronto,CONCESSIONNAIRE,2026-04-26,"Mitsubishi Outlander PHEV 2021 de couleur rouge, 39 540 km, en tres bon etat mecanique et esthetique. Moteur hybride rechargeable (PHEV), transmission automatique. Inspection recente reussie. Vendeur situe a Toronto. Prix: 33 363 $ CAD."
136,Mitsubishi,Outlander PHEV,2021,39867,32732,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Blanc,Quebec,PARTICULIER,2026-03-20,"Occasion a saisir: Mitsubishi Outlander PHEV 2021, seulement 39 867 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Quebec. Prix: 32 732 $."
137,Jeep,Wrangler,2023,500,67789,HYBRIDE,MANUELLE,Bleu,Montreal,CONCESSIONNAIRE,2026-01-01,"Superbe Jeep Wrangler 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 67 789 $ CAD, negociable."
138,Hyundai,Elantra,2019,108660,21950,ESSENCE,AUTOMATIQUE,Rouge,Montreal,CONCESSIONNAIRE,2026-05-13,"A vendre Hyundai Elantra 2019, 108 660 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur rouge, aucun accident rapporte. Disponible a Montreal. Prix demande: 21 950 $."
139,Chevrolet,Volt,2018,104898,30998,HYBRIDE,AUTOMATIQUE,Blanc,Toronto,CONCESSIONNAIRE,2025-11-05,"Chevrolet Volt 2018 de couleur blanc, 104 898 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Toronto. Prix: 30 998 $ CAD."
140,Ford,F-150,2023,500,77814,HYBRIDE,AUTOMATIQUE,Noir,Toronto,CONCESSIONNAIRE,2026-06-29,"Cette Ford F-150 2023 (500 km) est en excellent etat. Carburant: hybride, faible consommation, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Toronto. Prix affiche: 77 814 $ CAD, faire une offre."
141,Jeep,Grand,2022,500,91975,ELECTRIQUE,AUTOMATIQUE,Blanc,Winnipeg,CONCESSIONNAIRE,2025-06-22,"Jeep Grand 2022 de couleur blanc, 500 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Winnipeg. Prix: 91 975 $ CAD."
142,Chevrolet,Silverado,2017,168000,26995,ESSENCE,MANUELLE,Rouge,Calgary,CONCESSIONNAIRE,2026-01-06,"Occasion a saisir: Chevrolet Silverado 2017, seulement 168 000 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Calgary. Prix: 26 995 $."
143,Hyundai,Sonata,2017,150913,22995,HYBRIDE,MANUELLE,Noir,Regina,CONCESSIONNAIRE,2025-09-01,"Superbe Hyundai Sonata 2017 en excellente condition, 150 913 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Regina. Prix: 22 995 $ CAD, negociable."
144,Chevrolet,Cruze,2014,136523,11995,ESSENCE,MANUELLE,Noir,Montreal,CONCESSIONNAIRE,2026-04-04,"Superbe Chevrolet Cruze 2014 en excellente condition, 136 523 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 11 995 $ CAD, negociable."
145,Nissan,Altima,2018,23465,25888,ESSENCE,MANUELLE,Brun,Vancouver,CONCESSIONNAIRE,2025-07-09,"Nissan Altima 2018 de couleur brun, 23 465 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Vancouver. Prix: 25 888 $ CAD."
146,Kia,Sorento,2022,6497,62999,HYBRIDE,AUTOMATIQUE,Gris,Calgary,PARTICULIER,2025-07-28,"Cette Kia Sorento 2022 (6 497 km) est en excellent etat. Carburant: hybride, faible consommation, transmission automatique, couleur gris. Vehicule non accidente, deuxieme proprietaire. Localisation: Calgary. Prix affiche: 62 999 $ CAD, faire une offre."
147,Nissan,LEAF,2019,80000,31850,ELECTRIQUE,AUTOMATIQUE,Blanc,Kitchener,CONCESSIONNAIRE,2026-02-26,"A vendre Nissan LEAF 2019, 80 000 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Kitchener. Prix demande: 31 850 $."
148,Jaguar,F-Pace,2017,101782,34850,DIESEL,MANUELLE,Noir,Montreal,CONCESSIONNAIRE,2026-03-06,"Cette Jaguar F-Pace 2017 (101 782 km) est en excellent etat. Carburant: diesel, economique en carburant, transmission manuelle, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Montreal. Prix affiche: 34 850 $ CAD, faire une offre."
149,Porsche,Cayenne,2015,194826,37995,DIESEL,AUTOMATIQUE,Noir,Saskatoon,CONCESSIONNAIRE,2026-02-19,"A vendre Porsche Cayenne 2015, 194 826 km au compteur. Diesel, economique en carburant avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Saskatoon. Prix demande: 37 995 $."
150,Porsche,Cayenne,2015,63415,47898,DIESEL,MANUELLE,Bleu,Sherbrooke,PARTICULIER,2025-07-05,"Cette Porsche Cayenne 2015 (63 415 km) est en excellent etat. Carburant: diesel, economique en carburant, transmission manuelle, couleur bleu. Vehicule non accidente, deuxieme proprietaire. Localisation: Sherbrooke. Prix affiche: 47 898 $ CAD, faire une offre."
151,Kia,EV6,2023,500,71602,ELECTRIQUE,AUTOMATIQUE,Rouge,Trois-Rivieres,CONCESSIONNAIRE,2026-05-04,"Occasion a saisir: Kia EV6 2023, seulement 500 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Trois-Rivieres. Prix: 71 602 $."
152,Jeep,Compass,2023,500,50403,ESSENCE,AUTOMATIQUE,Blanc,Montreal,PARTICULIER,2026-05-31,"A vendre Jeep Compass 2023, 500 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Montreal. Prix demande: 50 403 $."
153,Mazda,Mazda3,2023,500,28050,ESSENCE,MANUELLE,Gris,Calgary,PARTICULIER,2026-04-26,"Superbe Mazda Mazda3 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Calgary. Prix: 28 050 $ CAD, negociable."
154,Tesla,Model 3,2021,22950,49995,ELECTRIQUE,AUTOMATIQUE,Blanc,Kitchener,CONCESSIONNAIRE,2026-02-10,"A vendre Tesla Model 3 2021, 22 950 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Kitchener. Prix demande: 49 995 $."
155,Toyota,RAV4 Prime,2023,19707,47755,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Bordeaux,Quebec,CONCESSIONNAIRE,2026-03-05,"A vendre Toyota RAV4 Prime 2023, 19 707 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur bordeaux, aucun accident rapporte. Disponible a Quebec. Prix demande: 47 755 $."
156,Chrysler,Pacifica Hybrid,2020,58696,33105,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Beige,Toronto,CONCESSIONNAIRE,2026-06-19,"A vendre Chrysler Pacifica Hybrid 2020, 58 696 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur beige, aucun accident rapporte. Disponible a Toronto. Prix demande: 33 105 $."
